eating_candy,cheerfulness,agitation,concentration,rumination,self_worth
0,0,1,0,0,0
0,0,1,0,0,0
-0.003410667,-0.003398333,0.998747,-0.003731667,0.005187333,-0.002394333
-0.006821333,-0.006796667,0.997494,-0.007463333,0.010374667,-0.004788667
-0.010232,-0.010195,0.996241,-0.011195,0.015562,-0.007183
-0.013642667,-0.013593333,0.994988,-0.014926667,0.020749333,-0.009577333
-0.017053333,-0.016991667,0.993735,-0.018658333,0.025936667,-0.011971667
-0.020464,-0.02039,0.992482,-0.02239,0.031124,-0.014366
-0.023874667,-0.023788333,0.991229,-0.026121667,0.036311333,-0.016760333
-0.027285333,-0.027186667,0.989976,-0.029853333,0.041498667,-0.019154667
-0.030696,-0.030585,0.988723,-0.033585,0.046686,-0.021549
-0.034106667,-0.033983333,0.98747,-0.037316667,0.051873333,-0.023943333
-0.037517333,-0.037381667,0.986217,-0.041048333,0.057060667,-0.026337667
-0.040928,-0.04078,0.984964,-0.04478,0.062248,-0.028732
-0.044338667,-0.044178333,0.983711,-0.048511667,0.067435333,-0.031126333
-0.047749333,-0.047576667,0.982458,-0.052243333,0.072622667,-0.033520667
-0.05116,-0.050975,0.981205,-0.055975,0.07781,-0.035915
-0.054570667,-0.054373333,0.979952,-0.059706667,0.082997333,-0.038309333
-0.057981333,-0.057771667,0.978699,-0.063438333,0.088184667,-0.040703667
-0.061392,-0.06117,0.977446,-0.06717,0.093372,-0.043098
-0.064802667,-0.064568333,0.976193,-0.070901667,0.098559333,-0.045492333
-0.068213333,-0.067966667,0.97494,-0.074633333,0.103746667,-0.047886667
-0.071624,-0.071365,0.973687,-0.078365,0.108934,-0.050281
-0.075034667,-0.074763333,0.972434,-0.082096667,0.114121333,-0.052675333
-0.078445333,-0.078161667,0.971181,-0.085828333,0.119308667,-0.055069667
-0.081856,-0.08156,0.969928,-0.08956,0.124496,-0.057464
-0.085266667,-0.084958333,0.968675,-0.093291667,0.129683333,-0.059858333
-0.088677333,-0.088356667,0.967422,-0.097023333,0.134870667,-0.062252667
-0.092088,-0.091755,0.966169,-0.100755,0.140058,-0.064647
-0.095498667,-0.095153333,0.964916,-0.104486667,0.145245333,-0.067041333
-0.098909333,-0.098551667,0.963663,-0.108218333,0.150432667,-0.069435667
-0.10232,-0.10195,0.96241,-0.11195,0.15562,-0.07183
-0.105730667,-0.105348333,0.961157,-0.115681667,0.160807333,-0.074224333
-0.109141333,-0.108746667,0.959904,-0.119413333,0.165994667,-0.076618667
-0.112552,-0.112145,0.958651,-0.123145,0.171182,-0.079013
-0.115962667,-0.115543333,0.957398,-0.126876667,0.176369333,-0.081407333
-0.119373333,-0.118941667,0.956145,-0.130608333,0.181556667,-0.083801667
-0.122784,-0.12234,0.954892,-0.13434,0.186744,-0.086196
-0.126194667,-0.125738333,0.953639,-0.138071667,0.191931333,-0.088590333
-0.129605333,-0.129136667,0.952386,-0.141803333,0.197118667,-0.090984667
-0.133016,-0.132535,0.951133,-0.145535,0.202306,-0.093379
-0.136426667,-0.135933333,0.94988,-0.149266667,0.207493333,-0.095773333
-0.139837333,-0.139331667,0.948627,-0.152998333,0.212680667,-0.098167667
-0.143248,-0.14273,0.947374,-0.15673,0.217868,-0.100562
-0.146658667,-0.146128333,0.946121,-0.160461667,0.223055333,-0.102956333
-0.150069333,-0.149526667,0.944868,-0.164193333,0.228242667,-0.105350667
-0.15348,-0.152925,0.943615,-0.167925,0.23343,-0.107745
-0.156890667,-0.156323333,0.942362,-0.171656667,0.238617333,-0.110139333
-0.160301333,-0.159721667,0.941109,-0.175388333,0.243804667,-0.112533667
-0.163712,-0.16312,0.939856,-0.17912,0.248992,-0.114928
-0.167122667,-0.166518333,0.938603,-0.182851667,0.254179333,-0.117322333
-0.170533333,-0.169916667,0.93735,-0.186583333,0.259366667,-0.119716667
-0.173944,-0.173315,0.936097,-0.190315,0.264554,-0.122111
-0.177354667,-0.176713333,0.934844,-0.194046667,0.269741333,-0.124505333
-0.180765333,-0.180111667,0.933591,-0.197778333,0.274928667,-0.126899667
-0.184176,-0.18351,0.932338,-0.20151,0.280116,-0.129294
-0.187586667,-0.186908333,0.931085,-0.205241667,0.285303333,-0.131688333
-0.190997333,-0.190306667,0.929832,-0.208973333,0.290490667,-0.134082667
-0.194408,-0.193705,0.928579,-0.212705,0.295678,-0.136477
-0.197818667,-0.197103333,0.927326,-0.216436667,0.300865333,-0.138871333
-0.201229333,-0.200501667,0.926073,-0.220168333,0.306052667,-0.141265667
-0.20464,-0.2039,0.92482,-0.2239,0.31124,-0.14366
-0.208050667,-0.207298333,0.923567,-0.227631667,0.316427333,-0.146054333
-0.211461333,-0.210696667,0.922314,-0.231363333,0.321614667,-0.148448667
-0.214872,-0.214095,0.921061,-0.235095,0.326802,-0.150843
-0.218282667,-0.217493333,0.919808,-0.238826667,0.331989333,-0.153237333
-0.221693333,-0.220891667,0.918555,-0.242558333,0.337176667,-0.155631667
-0.225104,-0.22429,0.917302,-0.24629,0.342364,-0.158026
-0.228514667,-0.227688333,0.916049,-0.250021667,0.347551333,-0.160420333
-0.231925333,-0.231086667,0.914796,-0.253753333,0.352738667,-0.162814667
-0.235336,-0.234485,0.913543,-0.257485,0.357926,-0.165209
-0.238746667,-0.237883333,0.91229,-0.261216667,0.363113333,-0.167603333
-0.242157333,-0.241281667,0.911037,-0.264948333,0.368300667,-0.169997667
-0.245568,-0.24468,0.909784,-0.26868,0.373488,-0.172392
-0.248978667,-0.248078333,0.908531,-0.272411667,0.378675333,-0.174786333
-0.252389333,-0.251476667,0.907278,-0.276143333,0.383862667,-0.177180667
-0.2558,-0.254875,0.906025,-0.279875,0.38905,-0.179575
-0.259210667,-0.258273333,0.904772,-0.283606667,0.394237333,-0.181969333
-0.262621333,-0.261671667,0.903519,-0.287338333,0.399424667,-0.184363667
-0.266032,-0.26507,0.902266,-0.29107,0.404612,-0.186758
-0.269442667,-0.268468333,0.901013,-0.294801667,0.409799333,-0.189152333
-0.272853333,-0.271866667,0.89976,-0.298533333,0.414986667,-0.191546667
-0.276264,-0.275265,0.898507,-0.302265,0.420174,-0.193941
-0.279674667,-0.278663333,0.897254,-0.305996667,0.425361333,-0.196335333
-0.283085333,-0.282061667,0.896001,-0.309728333,0.430548667,-0.198729667
-0.286496,-0.28546,0.894748,-0.31346,0.435736,-0.201124
-0.289906667,-0.288858333,0.893495,-0.317191667,0.440923333,-0.203518333
-0.293317333,-0.292256667,0.892242,-0.320923333,0.446110667,-0.205912667
-0.296728,-0.295655,0.890989,-0.324655,0.451298,-0.208307
-0.300138667,-0.299053333,0.889736,-0.328386667,0.456485333,-0.210701333
-0.303549333,-0.302451667,0.888483,-0.332118333,0.461672667,-0.213095667
-0.30696,-0.30585,0.88723,-0.33585,0.46686,-0.21549
-0.310370667,-0.309248333,0.885977,-0.339581667,0.472047333,-0.217884333
