Categorie: Alle categorieën

Maand,machine learning: (Wereldwijd)
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,0
2008-07,1
2008-08,1
2008-09,2
2008-10,0
2008-11,1
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,3
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,0
2010-04,0
2010-05,1
2010-06,1
2010-07,1
2010-08,2
2010-09,1
2010-10,1
2010-11,1
2010-12,2
2011-01,2
2011-02,2
2011-03,2
2011-04,1
2011-05,1
2011-06,1
2011-07,2
2011-08,1
2011-09,2
2011-10,3
2011-11,2
2011-12,2
2012-01,1
2012-02,1
2012-03,2
2012-04,2
2012-05,1
2012-06,2
2012-07,2
2012-08,4
2012-09,3
2012-10,3
2012-11,4
2012-12,2
2013-01,2
2013-02,3
2013-03,4
2013-04,4
2013-05,4
2013-06,5
2013-07,4
2013-08,4
2013-09,4
2013-10,5
2013-11,4
2013-12,6
2014-01,6
2014-02,6
2014-03,7
2014-04,7
2014-05,5
2014-06,9
2014-07,8
2014-08,7
2014-09,10
2014-10,10
2014-11,6
2014-12,7
2015-01,10
2015-02,7
2015-03,7
2015-04,10
2015-05,11
2015-06,13
2015-07,15
2015-08,12
2015-09,14
2015-10,15
2015-11,16
2015-12,15
2016-01,27
2016-02,37
2016-03,27
2016-04,24
2016-05,27
2016-06,45
2016-07,51
2016-08,42
2016-09,47
2016-10,42
2016-11,48
2016-12,80
2017-01,59
2017-02,100
2017-03,81
2017-04,40
2017-05,43
2017-06,55
