Date,google_news_total
01/01/2008,1
01/02/2008,1
01/03/2008,1
01/04/2008,1
01/05/2008,1
01/06/2008,0
01/07/2008,1
01/08/2008,1
01/09/2008,2
01/10/2008,0
01/11/2008,1
01/12/2008,0
01/01/2009,0
01/02/2009,0
01/03/2009,0
01/04/2009,1
01/05/2009,1
01/06/2009,1
01/07/2009,1
01/08/2009,1
01/09/2009,3
01/10/2009,1
01/11/2009,1
01/12/2009,1
01/01/2010,1
01/02/2010,1
01/03/2010,0
01/04/2010,0
01/05/2010,1
01/06/2010,1
01/07/2010,1
01/08/2010,2
01/09/2010,1
01/10/2010,1
01/11/2010,1
01/12/2010,2
01/01/2011,2
01/02/2011,2
01/03/2011,2
01/04/2011,1
01/05/2011,1
01/06/2011,1
01/07/2011,2
01/08/2011,1
01/09/2011,2
01/10/2011,3
01/11/2011,2
01/12/2011,2
01/01/2012,1
01/02/2012,1
01/03/2012,2
01/04/2012,2
01/05/2012,1
01/06/2012,2
01/07/2012,2
01/08/2012,4
01/09/2012,3
01/10/2012,3
01/11/2012,4
01/12/2012,2
01/01/2013,2
01/02/2013,3
01/03/2013,4
01/04/2013,4
01/05/2013,4
01/06/2013,5
01/07/2013,4
01/08/2013,4
01/09/2013,4
01/10/2013,5
01/11/2013,4
01/12/2013,6
01/01/2014,6
01/02/2014,6
01/03/2014,7
01/04/2014,7
01/05/2014,5
01/06/2014,9
01/07/2014,8
01/08/2014,7
01/09/2014,10
01/10/2014,10
01/11/2014,6
01/12/2014,7
01/01/2015,10
01/02/2015,7
01/03/2015,7
01/04/2015,10
01/05/2015,11
01/06/2015,13
01/07/2015,15
01/08/2015,12
01/09/2015,14
01/10/2015,15
01/11/2015,16
01/12/2015,15
01/01/2016,27
01/02/2016,37
01/03/2016,27
01/04/2016,24
01/05/2016,27
01/06/2016,45
01/07/2016,51
01/08/2016,42
01/09/2016,47
01/10/2016,42
01/11/2016,48
01/12/2016,80
01/01/2017,59
01/02/2017,100
01/03/2017,81
01/04/2017,40
01/05/2017,43
01/06/2017,55
