Date, percentage, total
01/1/2008, 0.19541852133318857, 18
01/2/2008, 0.18260671079662177, 16
01/3/2008, 0.14866730381225443, 14
01/4/2008, 0.16442297811119105, 16
01/5/2008, 0.1527183872938302, 15
01/6/2008, 0.1421752818117193, 14
01/7/2008, 0.10696331158412664, 10
01/8/2008, 0.15879737455007412, 15
01/9/2008, 0.15840477077897877, 17
01/10/2008, 0.19672131147540983, 21
01/11/2008, 0.24298876176976816, 24
01/12/2008, 0.25135732957973056, 25
01/1/2009, 0.2541942043721403, 25
01/2/2009, 0.19673421207948064, 20
01/3/2009, 0.1154068090017311, 12
01/4/2009, 0.12053033346725592, 12
01/5/2009, 0.17955017955017955, 19
01/6/2009, 0.20196456439915542, 22
01/7/2009, 0.25037556334501754, 25
01/8/2009, 0.3585271317829457, 37
01/9/2009, 0.3436426116838488, 40
01/10/2009, 0.2999400119976005, 35
01/11/2009, 0.33015079860801283, 37
01/12/2009, 0.3163698815872729, 35
01/1/2010, 0.29392244240068266, 31
01/2/2010, 0.2668138743214647, 29
01/3/2010, 0.26742581090407175, 31
01/4/2010, 0.3771213073538655, 42
01/5/2010, 0.4270219489281749, 50
01/6/2010, 0.37453183520599254, 43
01/7/2010, 0.32802249297094654, 35
01/8/2010, 0.3467706978760295, 40
01/9/2010, 0.34170375079465987, 43
01/10/2010, 0.49219410905175726, 64
01/11/2010, 0.43334383863851245, 55
01/12/2010, 0.33017270572299356, 39
01/1/2011, 0.457290767903365, 53
01/2/2011, 0.49978822532825073, 59
01/3/2011, 0.6048053024026512, 73
01/4/2011, 0.6447781454144397, 76
01/5/2011, 0.6387005204226462, 81
01/6/2011, 0.6098539560263201, 76
01/7/2011, 0.5214800099329526, 63
01/8/2011, 0.5566570077779472, 73
01/9/2011, 0.6135422826729746, 83
01/10/2011, 0.603085553997195, 86
01/11/2011, 0.5611510791366906, 78
01/12/2011, 0.4532312260686099, 58
01/1/2012, 0.8448774547115238, 111
01/2/2012, 1.304698380121674, 178
01/3/2012, 1.053864168618267, 144
01/4/2012, 1.0146982018950983, 136
01/5/2012, 2.5328001122570685, 361
01/6/2012, 2.6981331454737587, 383
01/7/2012, 1.055896034851953, 143
01/8/2012, 0.782414307004471, 105
01/9/2012, 1.3585311722375413, 202
01/10/2012, 1.46073866173375, 229
01/11/2012, 1.2476075707095768, 176
01/12/2012, 1.7625748920161628, 253
01/1/2013, 1.6190285828502897, 243
01/2/2013, 1.1328459461239544, 172
01/3/2013, 0.9724888035828536, 152
01/4/2013, 0.8561990157082181, 127
01/5/2013, 1.2678936605316973, 186
01/6/2013, 1.293360748159448, 195
01/7/2013, 0.9350752702433848, 141
01/8/2013, 1.0269145580240284, 153
01/9/2013, 1.2848230279819632, 208
01/10/2013, 1.369362789848457, 225
01/11/2013, 1.5625, 244
01/12/2013, 1.5301587301587303, 241
01/1/2014, 1.4341085271317828, 222
01/2/2014, 1.2790240062967335, 195
01/3/2014, 1.0204081632653061, 164
01/4/2014, 1.1434379367297676, 180
01/5/2014, 1.55073105892778, 245
01/6/2014, 1.5260491587966727, 244
01/7/2014, 1.2241532411518459, 193
01/8/2014, 1.210058612214029, 192
01/9/2014, 1.331768847169258, 227
01/10/2014, 1.6146895948703004, 277
01/11/2014, 1.7520936033735228, 295
01/12/2014, 1.541636319495023, 254
01/1/2015, 1.6091520522974416, 256
01/2/2015, 1.7495340587987736, 291
01/3/2015, 1.4620387958326138, 254
01/4/2015, 1.4524938479082887, 242
01/5/2015, 2.126192391679117, 370
01/6/2015, 2.2290284158584313, 393
01/7/2015, 1.6033755274261603, 266
01/8/2015, 1.5634014076381677, 271
01/9/2015, 1.5964618952591554, 296
01/10/2015, 1.9454632435018337, 366
01/11/2015, 1.9385495977104594, 359
01/12/2015, 1.3826965404368192, 245
01/1/2016, 1.9891397542154903, 348
01/2/2016, 2.3055387824559475, 420
01/3/2016, 1.7827595409661063, 334
01/4/2016, 2.2045181709047257, 404
01/5/2016, 2.8084356702419813, 542
01/6/2016, 2.4403383073856597, 453
01/7/2016, 2.0206632798675725, 354
01/8/2016, 2.00986172151356, 375
01/9/2016, 2.3483566630774755, 458
01/10/2016, 2.862455350589617, 585
01/11/2016, 2.8541279332696847, 568
01/12/2016, 2.4634837584477873, 452
01/1/2017, 2.650521734278221, 475
01/2/2017, 3.1636512317285086, 619
01/3/2017, 2.977387550890273, 607
01/4/2017, 3.1062780043296585, 617
01/5/2017, 3.3885506630799, 718
01/6/2017, 3.0278684408737133, 603
01/7/2017, 2.7336724731514312, 532
01/8/2017, 2.805356142762588, 551
01/9/2017, 2.9693877551020407, 291
