Date,google_search_total
01/20/1008,1
01/20/2008,1
01/20/3008,1
01/20/4008,1
01/20/5008,1
01/20/6008,0
01/20/7008,1
01/20/8008,1
01/20/9008,2
01/21/0008,0
01/21/1008,1
01/21/2008,0
01/20/1009,0
01/20/2009,0
01/20/3009,0
01/20/4009,1
01/20/5009,1
01/20/6009,1
01/20/7009,1
01/20/8009,1
01/20/9009,3
01/21/0009,1
01/21/1009,1
01/21/2009,1
01/20/1010,1
01/20/2010,1
01/20/3010,0
01/20/4010,0
01/20/5010,1
01/20/6010,1
01/20/7010,1
01/20/8010,2
01/20/9010,1
01/21/0010,1
01/21/1010,1
01/21/2010,2
01/20/1011,2
01/20/2011,2
01/20/3011,2
01/20/4011,1
01/20/5011,1
01/20/6011,1
01/20/7011,2
01/20/8011,1
01/20/9011,2
01/21/0011,3
01/21/1011,2
01/21/2011,2
01/20/1012,1
01/20/2012,1
01/20/3012,2
01/20/4012,2
01/20/5012,1
01/20/6012,2
01/20/7012,2
01/20/8012,4
01/20/9012,3
01/21/0012,3
01/21/1012,4
01/21/2012,2
01/20/1013,2
01/20/2013,3
01/20/3013,4
01/20/4013,4
01/20/5013,4
01/20/6013,5
01/20/7013,4
01/20/8013,4
01/20/9013,4
01/21/0013,5
01/21/1013,4
01/21/2013,6
01/20/1014,6
01/20/2014,6
01/20/3014,7
01/20/4014,7
01/20/5014,5
01/20/6014,9
01/20/7014,8
01/20/8014,7
01/20/9014,10
01/21/0014,10
01/21/1014,6
01/21/2014,7
01/20/1015,10
01/20/2015,7
01/20/3015,7
01/20/4015,10
01/20/5015,11
01/20/6015,13
01/20/7015,15
01/20/8015,12
01/20/9015,14
01/21/0015,15
01/21/1015,16
01/21/2015,15
01/20/1016,27
01/20/2016,37
01/20/3016,27
01/20/4016,24
01/20/5016,27
01/20/6016,45
01/20/7016,51
01/20/8016,42
01/20/9016,47
01/21/0016,42
01/21/1016,48
01/21/2016,80
01/20/1017,59
01/20/2017,100
01/20/3017,81
01/20/4017,40
01/20/5017,43
01/20/6017,55
